USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,5004,0.1,0.7,98252,91908,pts/0,S,19:47,605,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5006,99.5,6.0,717280,716180,pts/0,R,19:47,605,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
root,4958,2.7,0.8,98252,94652,pts/0,S,19:47,610,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5003,0.0,0.0,2228,760,pts/0,S,19:47,610,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,5004,0.1,0.7,98252,91908,pts/0,S,19:47,610,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5006,99.4,6.0,717280,716180,pts/0,R,19:47,610,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
root,4958,2.4,0.8,98252,94652,pts/0,S,19:47,615,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5003,0.0,0.0,2228,760,pts/0,S,19:47,615,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,5004,0.1,0.7,98252,91908,pts/0,S,19:47,615,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5006,99.4,6.0,717280,716180,pts/0,R,19:47,615,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
root,4958,2.2,0.8,98252,94652,pts/0,S,19:47,620,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5003,0.0,0.0,2228,760,pts/0,S,19:47,620,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,5004,0.1,0.7,98252,91908,pts/0,S,19:47,620,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5006,99.4,6.0,717280,716180,pts/0,R,19:47,620,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
root,4958,2.0,0.8,98252,94652,pts/0,S,19:47,625,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5003,0.0,0.0,2228,760,pts/0,S,19:47,625,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,5004,0.1,0.7,98252,91908,pts/0,S,19:47,625,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5006,99.4,6.0,717280,716180,pts/0,R,19:47,625,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
root,4958,1.9,0.8,98252,94652,pts/0,S,19:47,630,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5003,0.0,0.0,2228,760,pts/0,S,19:47,630,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,5004,0.1,0.7,98252,91908,pts/0,S,19:47,630,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5006,99.4,6.0,717280,716180,pts/0,R,19:47,630,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
root,4958,1.7,0.8,98252,94652,pts/0,S,19:47,635,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5003,0.0,0.0,2228,760,pts/0,S,19:47,635,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,5004,0.1,0.7,98252,91908,pts/0,S,19:47,635,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5006,99.4,6.0,717280,716180,pts/0,R,19:47,635,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
root,4958,1.6,0.8,98252,94652,pts/0,S,19:47,640,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5003,0.0,0.0,2228,760,pts/0,S,19:47,640,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/531.deepsjeng_r/run/run_base_train_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,5004,0.1,0.7,98252,91908,pts/0,S,19:47,640,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
root,5006,99.5,6.0,717292,716180,pts/0,R,19:47,640,../run_base_train_mytest-64.0000/deepsjeng_r_base.mytest-64 train.txt
root,4958,1.5,0.8,98252,94652,pts/0,S,19:47,645,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 6 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/531.deepsjeng_r.train.base --lognum 009.0.6 531.deepsjeng_r
